"name","canonical_smiles","smiles","formula","mol_wt","cid","activity_class","source"
"Miconazole","Clc1ccc(C(Cn2ccnc2)OCc2ccc(Cl)c(Cl)c2)c(Cl)c1","Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1Cl","C18H14Cl4N2O",413.99,4189,"Inhibitor (Strong)","PubChem / FDA"
"Clotrimazole","Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1","Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4","C22H17ClN2",344.11,2812,"Inhibitor (Strong)","PubChem / FDA"
"Midazolam","Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2","CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F","C18H13ClFN3",325.08,4192,"Substrate (Index)","PubChem / FDA"
"Simvastatin","CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21","CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12","C25H38O5",418.27,54454,"Substrate","PubChem / FDA"
"Lovastatin","CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21","CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12","C24H36O5",404.26,53232,"Substrate","PubChem / FDA"
"Atorvastatin","CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O","CC(C)c1c(C(=O)Nc2ccccc2)c(c3ccccc3)c(c4ccc(F)cc4)n1CCC(O)CC(O)CC(=O)O","C33H35FN2O5",558.25,60823,"Substrate","PubChem / FDA"
"Nifedipine","COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]","COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c2ccccc2[N+](=O)[O-]","C17H18N2O6",346.12,4485,"Substrate","PubChem / FDA"
"Felodipine","CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl","CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c2cccc(Cl)c2Cl","C18H19Cl2NO4",383.07,3333,"Substrate","PubChem / FDA"
"Amlodipine","CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl","CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c2ccccc2Cl","C20H25ClN2O5",408.15,2162,"Substrate","PubChem / FDA"
"Diazepam","CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21","CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13","C16H13ClN2O",284.07,3016,"Substrate","PubChem / FDA"
"Alprazolam","Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2","CC1=NN=C2CN=C(C3=CC=CC=C3)C4=C(C=CC(=C4)Cl)N12","C17H13ClN4",308.08,2118,"Substrate","PubChem / FDA"
"Triazolam","Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2","CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C4=C(C=CC(=C4)Cl)N12","C17H12Cl2N4",342.04,5505,"Substrate","PubChem / FDA"
"Omeprazole","COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1","COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1","C17H19N3O3S",345.11,4594,"Substrate / Weak Inhibitor","PubChem / FDA"
"Sildenafil","CCCc1nn(C)c(=O)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12","CCCC1=NN(C)C(=O)C2=C1N=C(NC2=O)c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC","C23H30N6O5S",502.2,135398744,"Substrate","PubChem / FDA"
"Aspirin (Acetylsalicylic acid)","CC(=O)Oc1ccccc1C(=O)O","CC(=O)Oc1ccccc1C(=O)O","C9H8O4",180.04,2244,"Non-Inhibitor (Safe)","PubChem AID 884"
"Paracetamol (Acetaminophen)","CC(=O)Nc1ccc(O)cc1","CC(=O)Nc1ccc(O)cc1","C8H9NO2",151.06,1983,"Non-Inhibitor (Safe)","PubChem AID 884"
"Ibuprofen","CC(C)Cc1ccc(C(C)C(=O)O)cc1","CC(C)Cc1ccc(C(C)C(=O)O)cc1","C13H18O2",206.13,3672,"Non-Inhibitor (Safe)","PubChem AID 884"
"Caffeine","Cn1c(=O)c2c(ncn2C)n(C)c1=O","Cn1c(=O)c2c(ncn2C)n(C)c1=O","C8H10N4O2",194.08,2519,"Non-Inhibitor (Safe)","PubChem AID 884"
"Glucose","OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O","OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O","C6H12O6",180.06,5793,"Non-Inhibitor (Safe)","PubChem"
"Metformin","CN(C)C(=N)NC(=N)N","CN(C)C(=N)NC(=N)N","C4H11N5",129.1,4091,"Non-Inhibitor (Safe)","PubChem AID 884"
"Atenolol","CC(C)NCC(O)COc1ccc(CC(N)=O)cc1","CC(C)NCC(O)COc1ccc(CC(N)=O)cc1","C14H22N2O3",266.16,2249,"Non-Inhibitor (Safe)","PubChem AID 1851"
"Propranolol","CC(C)NCC(O)COc1cccc2ccccc12","CC(C)NCC(O)COc1cccc2ccccc12","C16H21NO2",259.16,4946,"Non-Inhibitor / Weak","PubChem AID 884"
"Warfarin","CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O","CC(=O)CC(c1ccccc1)c2c(O)c3ccccc3oc2=O","C19H16O4",308.1,54678486,"Non-Inhibitor (CYP2C9)","PubChem"
"Amoxicillin","CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O","CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O","C16H19N3O5S",365.1,33613,"Non-Inhibitor (Safe)","PubChem AID 884"
"Penicillin G","CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O","CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O","C16H18N2O4S",334.1,5904,"Non-Inhibitor (Safe)","PubChem AID 884"
"Ascorbic acid (Vitamin C)","O=C1OC(C(O)CO)C(O)=C1O","OCC(O)C1OC(=O)C(O)=C1O","C6H8O6",176.03,54670067,"Non-Inhibitor (Safe)","PubChem"
"Nicotinamide (Vitamin B3)","NC(=O)c1cccnc1","NC(=O)c1cccnc1","C6H6N2O",122.05,936,"Non-Inhibitor (Safe)","PubChem"
"Naproxen","COc1ccc2cc(C(C)C(=O)O)ccc2c1","COc1ccc2cc(C(C)C(=O)O)ccc2c1","C14H14O3",230.09,156391,"Non-Inhibitor (Safe)","PubChem AID 884"
"Metoprolol","COCCc1ccc(OCC(O)CNC(C)C)cc1","COCCc1ccc(OCC(O)CNC(C)C)cc1","C15H25NO3",267.18,4171,"Non-Inhibitor (Safe)","PubChem AID 884"
"Hydrochlorothiazide","NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O","NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O","C7H8ClN3O4S2",296.96,3639,"Non-Inhibitor (Safe)","PubChem AID 884"
"Furosemide","NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl","NS(=O)(=O)c1cc(c(cc1Cl)NCc2ccco2)C(=O)O","C12H11ClN2O5S",330.01,3440,"Non-Inhibitor (Safe)","PubChem AID 884"
"Salbutamol (Albuterol)","CC(C)(C)NCC(O)c1ccc(O)c(CO)c1","CC(C)(C)NCC(O)c1ccc(O)c(CO)c1","C13H21NO3",239.15,2088,"Non-Inhibitor (Safe)","PubChem AID 884"
"Ranitidine","CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1","CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1","C13H22N4O3S",314.14,5039,"Non-Inhibitor (Safe)","PubChem AID 884"
"Famotidine","NC(N)=Nc1nc(CSCCNC(N)=NS(N)(=O)=O)cs1","NS(=O)(=O)N=C(N)NCCSCc1csc(N=C(N)N)n1","C8H16N8O2S3",352.06,3325,"Non-Inhibitor (Safe)","PubChem AID 884"
